Data;ABEV3;BBAS3;BBDC4;BBSE3;BRFS3;BRML3;BVMF3;CCRO3;CIEL3;CMIG4;EQTL3;FIBR3;GGBR4;GOAU4;HYPE3;ITUB4;JBSS3;KROT3;LAME4;LREN3;PETR4;RADL3;UGPA3;USIM5;VIVT4;IBOV;CDI 252 dias;SMB;HML;WML;Rm_minus_Rf
02/01/2014;14.91724744;18.8158233;16.41752145;18.64516768;46.09477907;10.73682075;9.059374202;14.63401175;17.19112284;9.037150499;21.16640271;24.68849826;17.19178297;21.85151546;15.62024346;18.9808183;8.018979056;8.640727453;9.995443842;9.951605311;15.74722524;14.47159454;49.32094601;13.12219232;34.4835068;50341;9.77;-1.5439954;-1.9105457;1.3811294;-1.332696
03/01/2014;14.49692247;18.95694197;16.17389145;18.24034567;44.81252167;10.9702299;9.145001558;14.55836206;17.29253772;9.312793434;20.81347454;24.65278253;17.06925381;21.62300288;15.91530244;18.8543598;7.767220411;8.658728969;9.975984834;10.07810877;15.4369814;14.26144597;48.89537516;13.49375961;35.34929943;50981;9.77;3.8003147;3.8087588;-2.6479214;-0.0624339
06/01/2014;14.41114186;18.72958411;16.37251818;17.98343939;44.87900909;10.69266226;8.913807698;14.3734406;17.43035795;9.371859777;20.59057254;24.63492467;16.95614998;21.60396016;15.48612574;18.97479647;7.96303269;8.663229348;9.943553153;9.949918599;15.62500797;14.49069895;48.27060092;13.76754604;35.34929943;50973;9.77;1.2349826;1.3826512;-1.3941246;-0.0909255
07/01/2014;14.86577908;18.40814713;16.01499006;17.86666381;45.11646416;10.75574582;8.828180343;14.21373571;17.63058733;9.05683928;20.59057254;24.27776737;16.93729934;21.47066116;15.53083165;18.83027247;8.09357421;8.550719876;9.76842208;10.14726399;15.19254686;14.56711661;48.4698043;13.650209;35.56769758;50430;9.77;0.1131012;-0.7633684;0.3809411;-0.9535546
08/01/2014;15.01160611;18.03967059;16.00363996;18.09242993;43.59675169;10.98915496;9.033685996;14.12127498;17.65659115;8.932143667;20.67416079;24.09918872;16.9655753;21.42305437;15.35200803;19.1253423;8.224115729;8.726234652;9.820312769;10.12871015;15.22075085;14.56711661;49.21228963;13.66976517;35.91869459;50576;9.77;-0.2995445;-0.124783;-0.4071908;0.0497286
09/01/2014;14.65990562;17.36543692;15.54396094;17.69539296;42.3619853;10.59803693;8.69973931;13.61694373;17.52657207;8.735255857;20.89706279;23.6259553;16.85247146;21.23262722;14.93177251;18.52918081;8.056276633;8.584472717;9.803260739;9.793054311;14.76008575;14.04174519;48.33398381;13.34708831;35.80169559;49321;9.77;0.0524919;-0.579216;0.1694446;-2.0501859
10/01/2014;14.75426429;17.99263103;15.67448708;17.92894412;41.79209312;10.75574582;8.69973931;13.75983758;17.61498504;8.938706594;20.89706279;23.92061007;16.99385126;21.51826795;14.96753724;18.61950831;8.009654661;8.820742609;9.803260739;9.680044556;15.01392162;14.1754761;48.82293756;13.43509109;36.18389234;49696;9.77;-0.6972848;-0.1281213;0.0535118;0.5856253
13/01/2014;14.61701532;17.79663287;15.56098609;18.01457954;42.21001405;10.66742884;8.639800161;13.54129404;17.51877092;8.68275244;20.85991246;23.61702637;16.63568911;21.07076414;14.97647842;18.53520264;8.018979056;8.786989767;9.855198545;9.690164833;14.82589505;13.65965689;48.4426402;13.3568664;35.93429446;49426;9.77;0.7617172;0.8816767;-0.7570595;-0.5633284
14/01/2014;14.79715459;18.36110757;15.70286233;18.27927086;42.55194936;10.59172858;8.759678458;13.53288852;17.34454535;8.820573908;21.26856613;23.33130053;16.21154973;20.73751663;14.90494897;18.81220697;8.112222998;8.820742609;9.822737416;9.673297705;14.76008575;14.08950623;49.06741444;13.31775405;36.1526926;49703;9.77;-0.4068538;-0.1455446;0.4989601;0.4716296
15/01/2014;14.8006371;18.16510941;15.79366312;18.65295272;42.46646553;10.81252102;8.853868549;13.54969956;17.31854154;8.72869293;21.96513489;23.84024968;16.44718272;20.96602921;14.95859605;18.8182288;8.298710883;8.721734273;9.913628575;9.715465524;15.07973092;14.0512974;48.82293756;13.55242813;36.58168896;50105;9.77;0.2397959;0.595479;-0.6919221;0.549147
16/01/2014;14.60909944;18.03183066;15.56666114;18.80086845;41.16521172;10.72420404;8.708302045;13.81027071;17.29253772;8.840262689;22.07658589;23.58131064;16.4377574;21.02315736;14.75294889;18.42680964;8.2707377;8.631726696;9.822737416;9.647997014;14.65667114;13.72652234;48.89537516;13.60131857;36.93268597;49696;10.27;-0.0162991;-0.1584347;-0.2914374;-0.7007419
17/01/2014;14.48721184;17.56143508;15.4134348;18.66073776;41.01324048;10.64219542;8.631237425;13.86910935;17.20152437;8.85995147;21.75152047;23.09914828;16.29637761;20.78512342;14.26118393;18.06549965;8.158844969;8.471963245;9.660431775;9.54173411;14.58146051;13.62144806;47.98990525;13.63065283;36.13709274;49181;10.34;0.9055757;0.6360178;-0.5543694;-0.9458258
20/01/2014;14.53944938;17.48303581;15.322634;18.59845745;40.49083931;10.54757009;8.579861012;13.95316456;17.17812093;8.735255857;21.59363155;22.90271177;16.10787121;20.49948269;13.96612495;17.92097565;8.158844969;8.435960214;9.647447324;9.666550854;14.27121667;13.82204442;48.4698043;13.32753214;35.88749486;48708;10.35;0.8871577;0.0981792;-0.8575975;-0.8313365
21/01/2014;14.71357452;17.56143508;15.49856054;18.47389683;40.06342018;10.56649516;8.417169037;13.86910935;16.92588392;8.892766105;21.41716746;22.73306205;15.83453695;20.10910704;14.14494857;18.17389265;8.018979056;8.377455289;9.60849397;9.715465524;14.42163792;13.46861274;48.70522648;12.46706051;36.33989101;48542;10.35;-0.1893538;-0.7818588;0.3336093;-0.2069792
22/01/2014;14.9225247;17.60847464;15.60071143;18.80086845;41.27919016;10.86298786;8.562735541;14.00359769;17.16251864;9.12246855;21.4543178;22.77770672;16.06074462;20.43283319;14.57412527;18.21604548;8.037627844;8.399957183;9.874675222;10.1877451;14.89170435;13.62144806;49.13079733;12.54528521;37.04968498;49299;10.27;0.1599965;0.7417321;-0.7422266;1.0673921
23/01/2014;14.40885553;16.86368163;15.24885836;18.60624248;41.45965602;10.56649516;8.348667152;13.7262155;16.7724614;9.037150499;21.54719363;22.2776865;15.97591674;20.15671382;14.46683109;17.85473549;7.552759343;8.29194809;9.673416226;9.868956386;14.54385519;13.09607664;48.35209321;12.183496;37.24468332;48320;10.27;1.1742746;0.410034;-0.7753076;-1.6784869
24/01/2014;14.30438044;16.59712413;14.94808073;18.13135512;41.24119735;10.28261917;8.305853475;13.44883331;16.57223202;8.984647083;21.2871413;22.75091992;15.97591674;20.29001283;14.14494857;17.61988399;7.692625257;8.096181609;9.569540616;9.656430578;14.19600604;13.4208517;47.79070187;12.17371791;36.44129015;47787;10.27;-1.10572;0.5606549;0.8314269;-1.0386496
27/01/2014;13.96483641;16.80096222;15.02185637;17.92894412;41.23169914;10.30785259;8.477108186;13.46564435;16.38240416;8.840262689;20.89706279;22.81342245;15.74970907;19.83298767;13.90353668;17.97517215;7.851139959;8.168187671;9.673416226;9.479325737;14.20540737;13.73607455;46.94861485;11.94882192;35.80169559;47701;10.27;0.5245447;-0.2762923;0.5234485;-0.1114929
28/01/2014;14.01707396;16.61280399;15.03320647;17.98343939;41.0797279;10.09336851;8.425731772;13.38158915;16.41100836;8.905891959;20.89706279;22.9116407;15.73085843;19.83298767;14.0376544;18.10163065;7.785869199;8.269446196;9.920120801;9.445591482;14.1489994;14.12771506;47.80881126;11.95860001;35.87969492;47840;10.27;0.3746256;0.0442178;-0.3216013;0.1694997
29/01/2014;13.97354267;15.87585091;14.68702844;17.74988823;41.45965602;9.815800875;8.143161499;13.23869529;16.46821675;8.761507565;20.61843529;24.2866963;16.14557249;20.23288468;13.71577188;17.75838616;7.692625257;8.249194491;9.666924001;9.275233493;13.91396618;13.74562676;48.4154761;12.04660279;34.86570355;47556;10.27;-1.1678027;-0.4623883;0.9553872;-0.6836433
30/01/2014;13.81683004;15.75825201;14.59622765;17.64089769;41.0797279;9.71486719;8.048971409;13.00334071;16.50462209;8.92558074;20.09833061;23.47416345;15.9570661;20.12814975;13.63530125;17.77645166;7.701949651;8.190689565;9.556556164;9.335955152;13.8199529;14.04174519;48.27060092;11.8901534;35.48969824;47244;10.27;-0.0435001;-0.1336666;-0.5339234;-0.5069531
31/01/2014;14.0083677;16.3776062;14.84592983;17.67203784;41.07022969;9.588700084;8.211663384;13.06217936;16.70485148;9.142157331;20.6648732;24.15276232;16.16442313;20.39474776;13.63530125;18.23411098;7.879113142;8.298698658;9.543571713;9.349448854;13.8199529;13.87935766;48.26154622;11.63592314;35.77829579;47638;10.27;-0.3753189;0.2335116;0.3730043;0.6091001
03/02/2014;13.49469853;15.77393186;14.34085042;16.99473947;39.10410168;9.304824094;7.903404904;12.63349779;16.49942133;9.024024645;19.96830444;23.59023957;15.58947864;19.49974016;13.41177172;18.01420513;7.515461766;8.235693354;9.335820492;9.106562216;13.02083998;13.4208517;46.77657557;11.36213672;34.90470321;46147;10.27;-0.4474076;-1.5502021;0.9098278;-2.6162859
04/02/2014;13.55564233;16.291367;14.6706706;17.34506622;39.70248846;9.998743179;7.971906789;12.99493519;16.47341751;8.853388543;20.36767053;23.77774715;15.4763748;19.50926151;13.51906589;18.88780371;7.618030103;8.460712298;9.303359364;9.160537025;13.24647186;13.70741793;47.4828421;11.72392592;34.79550414;46964;10.29;-0.9251607;0.3794912;0.2569648;1.4255803
05/02/2014;13.44246099;16.18160804;14.60819388;17.72653311;39.19908371;9.954584692;8.091785086;12.62509227;16.25238508;8.498990484;20.0518927;23.12593508;15.25959245;19.28074893;13.48330117;18.79743144;7.273027516;8.471963245;9.199483753;9.054274121;13.00203732;13.56413481;46.13369193;11.6652574;35.09970156;46624;10.29;0.7581194;-0.4742222;-0.700081;-0.6757998
06/02/2014;14.07801775;16.93424097;14.89785869;18.43497163;39.493528;9.80949252;8.485670921;12.89406894;16.66324537;8.754944638;20.43268362;23.35808733;15.53292672;19.78538088;13.63530125;19.1890446;7.384920247;8.685731242;9.296867138;9.17571744;13.3592878;13.85070104;47.71826427;12.07593705;34.6005058;47738;10.29;-0.8925213;0.4660675;1.0271737;1.8093534
